Name|Insane Trio
Author|Ink
Difficulty|10
Description|A game against 3 enhanced versions of monsters that have long been familiar to us. It will be a worthy challenge and incredibly difficult.
Version|6.0 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Number of Hunters|1
Number of Fiends|1
Minimum Monster Spawntime (seconds)|40
Maximum Monster Spawntime (seconds)|60
Monster Animation Speed Multiplier|1.4
Monster Movement Speed Multiplier|1.4
Monster Rotation Speed Multiplier|1.4
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.4
Brute Fire Shroud|True
Fire Shroud Radius|1.5
Fire Blast Radius|0
Overpowered Hunter|True
Fiend Flicker Minimum Range|1
Fiend Flicker Medium Range|2
Fiend Flicker Maximum Range|3
Fiend Mind Attack Damage Multiplier|100
Fiend Mind Attack Attack Timer Charge Rate|10
Fiend Mind Attack Attack Timer Decay Rate|0.2
Fiend Door Teleportation|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
