Name|Annihilation
Author|Ink
Difficulty|10
Description|A very hard and incredibly unpredictable challenge where your main threat can annihilate you in just a second.
Version|6.0
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Monster Animation Speed Multiplier|3
Monster Movement Speed Multiplier|3
Monster Rotation Speed Multiplier|3
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|3
Apply Chase Speed Buff To All Monsters|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
