Name|Aries
Author|Mike Bone
Difficulty|8
Description|Run boy, run. He's trying to stop you.\n\nVerified by Desch.\n\nPart of the 4.1 MES challenge library.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Minimum Monster Spawntime (seconds)|15
Maximum Monster Spawntime (seconds)|15
Spawn Monster In Starter Room|True
Persistent Monster|True
Seer Monster|True
Monster Always Finds You In Hiding Spot|True
Monster Animation Speed Multiplier|2
Monster Movement Speed Multiplier|2
Monster Rotation Speed Multiplier|2
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|2.5
Dark Ship|True
Powerable Lights|True
Death Countdown|900
Show Death Countdown|True
Player Movement Speed Multiplier|1.8
Starter Room Region|Lower Deck
No Cameras|True
Pre-fill Engine Room Fuse Box|True
Pre-fill Submersible Fuse Box|True
Pre-fill Light Fuse Boxes|True
Pre-fill Power Lock Fuse Boxes|True
No Barricaded Doors|True
Overpowered Steam Vents|True
Unbreakable Pit Traps|True
Shortened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Add Deck Zero|True
Diverse Item Spawns|True
Spawn Items Anywhere|True
Flashlight Colour Red Component|255
Flashlight Colour Green Component|0
Flashlight Colour Blue Component|0
Flashlight Intensity Multiplier|1.5
Flashlight Range Multiplier|1.5
Glowstick Colour Red Component|255
Glowstick Colour Green Component|0
Glowstick Colour Blue Component|0
Glowstick Intensity Multiplier|1.5
Glowstick Range Multiplier|1.5
Ship Generic Lights Colour Red Component|255
Ship Generic Lights Colour Green Component|0
Ship Generic Lights Colour Blue Component|0
Ship Generic Lights Intensity Multiplier|1.5
Ship Generic Lights Range Multiplier|1.5
