Name|Blind Beast's Lair
Author|Ink
Difficulty|10
Description|The game against 3 Blind Beasts. Good luck dealing with a triple threat relying only on your ears.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|3
Maximum Monster Spawntime (seconds)|30
Monster Animation Speed Multiplier|2
Monster Movement Speed Multiplier|1.5
Monster Rotation Speed Multiplier|2
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|3
Brute Chase Speed Buff Rate|1.5
Glowstick Hunt|True
No Glowstick Hunt Finale|True
Special Glowsticks Required|12
Special Glowsticks To Create|16
Foggy Ship|True
Fog Near Distance|3
Fog Far Distance|6
Monster Vision Affected By Fog|True
Disable Liferaft|True
Disable Helicopter|True
Disable Submersible|True
Gravity Y Acceleration|-14.715
Player Stamina Mode|True
Player Stamina Mode Stamina Duration|5
Player Stamina Mode Stamina Penalty|100
Player Stamina Mode Walking Recovery Factor|0.75
Player Stamina Mode Standing Recovery Factor|1.5
Player Movement Speed Multiplier|1.25
Extended Jump Cooldown|True
Infinite Flashlight Power|True
Starter Room Region|Upper Deck
Flashlight Intensity Multiplier|2
Glowstick Intensity Multiplier|0.25
Custom Music Pack|1
Use Wander Theme From Start|True
Do Not Render Brute's Light|True
