Name|Call of Bruty DX+
Author|Mike Bone
Difficulty|5
Description|Do not pray for easy lives my friends---pray to be, uhh, stronger crewmates.\n\nHigher difficulty variant of Call of Bruty DX, part of the 4.1 MES challenge library.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|3
Persistent Monster|True
Seer Monster|True
Monster Animation Speed Multiplier|1.4
Monster Movement Speed Multiplier|1.4
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.75
Death Countdown|960
Show Death Countdown|True
Flare Lifetime|0
Spawn With Flare Gun|True
Overpowered Flare Gun|True
Starter Room Region|Lower Deck
No Barricaded Doors|True
Unbreakable Pit Traps|True
Shortened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Add Deck Zero|True
Flashlight Colour Red Component|255
Flashlight Colour Green Component|100
Flashlight Colour Blue Component|0
Glowstick Colour Red Component|255
Glowstick Colour Green Component|100
Glowstick Colour Blue Component|0
Ship Generic Lights Colour Red Component|255
Ship Generic Lights Colour Green Component|100
Ship Generic Lights Colour Blue Component|0
Do Not Render Brute's Light|True
