Name|Darkless
Author|Ink
Difficulty|6
Description|All you have to do is escape, but your only source of light is the infinite flaregun.\nI advise you to hurry. No one knows when something will decide to spawn here. A mandatory condition for completing this challenge is to set 10-15% of the gamma after leaving the starting room.
Version|7.1
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Minimum Monster Spawntime (seconds)|1.8
Maximum Monster Spawntime (seconds)|1800
Silent Monster|True
Fiend Vision Cone Angle|0
Apply Fiend Vision Cone Angle To All Monsters|True
Monster Animation Speed Multiplier|1.8
Monster Movement Speed Multiplier|1.8
Monster Rotation Speed Multiplier|1.8
Brute Long Range Wander Speed Buff|True
Brute Long Range Wander Speed Buff Multiplier|1.8
Dark Ship|True
Foggy Ship|True
Fog Near Distance|100
Fog Far Distance|100
Fog Density|100
Helicopter Fuel Time|2
Submersible Charge Time|3
Gravity Y Acceleration|-14.715
Extended Jump Cooldown|True
Flare Lifetime|20
Spawn With Flare Gun|True
Overpowered Flare Gun|True
Pre-fill Start Region Fuse Box|False
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
No Barricaded Doors|True
Add Deck Cargo Holds|True
Use Deck Four On Submersible Side|True
Spawn Additional Engine Room Workshops|True
Aggressive Workshop Spawning|True
Lengthened Cargo Hold Corridors|True
Change Key Item Spawn Numbers|2
Diverse Item Spawns|True
Brute Light Colour Red Component|255
Brute Light Colour Green Component|0
Brute Light Colour Blue Component|0
Brute Light Intensity Multiplier|1.375
Flashlight Intensity Multiplier|0
Flashlight Range Multiplier|0
Glowstick Intensity Multiplier|0
Glowstick Range Multiplier|0
Fog Colour Red Component|200
Fog Colour Green Component|0
Fog Colour Blue Component|0
Custom Music Pack|1
Use Wander Theme From Start|True
Speedrun Timer|True
Show Speedrun Timer On Screen|True
