Name|Devastated Ship
Author|Ink
Difficulty|10
Description|The game against 5 random Insane monsters.
Version|7.0
Setting|Custom Value
Number of Random Monsters|5
Maximum Monster Spawntime (seconds)|30
Monster Animation Speed Multiplier|1.5
Monster Movement Speed Multiplier|1.5
Monster Rotation Speed Multiplier|1.5
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.5
Brute Chase Speed Buff Rate|1.5
Brute Fire Shroud|True
Fire Shroud Radius|1.5
Fire Blast Radius|0
Hunter Maximum Cooldown Time Multiplier|0.25
Overpowered Hunter|True
Fiend Flicker Minimum Range|1.5
Fiend Flicker Medium Range|2.25
Fiend Flicker Maximum Range|3
Fiend Mind Attack Damage Multiplier|3
Fiend Mind Attack Attack Timer Charge Rate|5
Fiend Mind Attack Attack Timer Decay Rate|0.25
Fiend Mind Attack Delay Timer Rate|5
Helicopter Fuel Time|2
Submersible Charge Time|3
Escape Conditions|1
Camera Timer|1
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
