Name|Double Rush
Author|Ink
Difficulty|9
Description|Let's guess who's faster.
Version|7.0
Setting|Custom Value
Number of Random Monsters|2
Disable Random Hunter|True
Disable Random Fiend|True
Maximum Monster Spawntime (seconds)|2
Monster Animation Speed Multiplier|2
Monster Movement Speed Multiplier|2
Monster Rotation Speed Multiplier|2
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|2
Brute Chase Speed Buff Rate|2
Brute Long Range Wander Speed Buff|True
Brute Long Range Wander Speed Buff Multiplier|2
Helicopter Fuel Time|2
Submersible Charge Time|2
Escape Conditions|2
Player Movement Speed Multiplier|2
Pre-fill Liferaft Fuse Box|False
Brute Light Intensity Multiplier|2
Brute Light Range Multiplier|2
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
