Name|Duel Part IV
Author|Ink
Difficulty|10
Description|It's not even fair anymore. He is broken. Pray.\nKeep in mind that the Devil is immortal, so you have to escape to win. Your weapon will be under your feet.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|1
Force Many Monsters Mode|True
Maximum Monster Spawntime (seconds)|1
Silent Monster|True
Fiend Vision Cone Angle|360
Monster Animation Speed Multiplier|1.999
Monster Movement Speed Multiplier|1.999
Monster Rotation Speed Multiplier|1.999
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.999
Brute Chase Speed Buff Rate|1.999
Apply Chase Speed Buff To All Monsters|True
Brute Fire Shroud|True
Give All Monsters A Fire Shroud|True
Fire Shroud Radius|0
Fire Blast Radius|666
Brute Long Range Wander Speed Buff|True
Brute Long Range Wander Speed Buff Multiplier|1.999
Apply Long Range Wander Speed Buff To All Monsters|True
Fiend Flicker Minimum Range|-1
Fiend Flicker Medium Range|-1
Fiend Flicker Maximum Range|-1
Fiend Mind Attack Damage Multiplier|666
Fiend Mind Attack Attack Timer Charge Rate|15
Fiend Mind Attack Attack Timer Decay Rate|0
Fiend Door Teleportation|True
Glowstick Hunt|True
No Glowstick Hunt Finale|True
Special Glowsticks Required|10
Special Glowsticks To Create|16
Monster Spawn Speedrun|150
Monster Spawning Limit|2
Disable Liferaft|True
Disable Helicopter|True
Disable Submersible|True
Escape Conditions|1
Flare Lifetime|0.5
Spawn With Flare Gun|True
Overpowered Flare Gun|True
Flares Teleport Monsters|True
Add Smoke Grenade|True
Pre-fill Start Region Fuse Box|False
Pre-fill Liferaft Fuse Box|False
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
