Name|Duel+
Author|Ink
Difficulty|8
Description|It looks like the duel with the devil has become less fair. Anyway, good luck.\n\nYour only weapon will be the Flare Gun, which will spawn in the start room. Keep in mind that you can see through dense fog only with the help of portable lighting sources.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|3
Maximum Monster Spawntime (seconds)|5
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Fiend Flicker Minimum Range|0.25
Fiend Flicker Medium Range|0.5
Fiend Flicker Maximum Range|0.75
Fiend Mind Attack Damage Multiplier|100
Fiend Mind Attack Attack Timer Charge Rate|7.5
Foggy Ship|True
Fog Near Distance|5
Fog Far Distance|25
Fog Density|3.75
No Hiding|True
Extended Jump Cooldown|True
Flare Lifetime|0.2
Spawn With Flare Gun|True
Overpowered Flare Gun|True
Flares Teleport Monsters|True
Infinite Flashlight Power|True
Add Smoke Grenade|True
No Pre-filled Fuse Boxes|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|4
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|3.5
