Name|Extended Insanity++
Author|Ink
Difficulty|10
Description|A complete trio of monsters of the "Insane" difficulty variant, including Sparky. Additionally, there are a large number of settings such as new items, updated generation, escape conditions and other features to improve the enjoyment of the gameplay. High degree of replayability.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Number of Hunters|1
Number of Fiends|1
Number of Sparkies|1
Add Sparky To The Game|True
Use Indev Sparky Model|True
Maximum Monster Spawntime (seconds)|30
Monster Animation Speed Multiplier|1.5
Monster Movement Speed Multiplier|1.5
Monster Rotation Speed Multiplier|1.5
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.5
Brute Chase Speed Buff Rate|1.5
Brute Fire Shroud|True
Fire Shroud Radius|1.5
Fire Blast Radius|0
Hunter Maximum Cooldown Time Multiplier|0.25
Overpowered Hunter|True
Fiend Flicker Minimum Range|1.5
Fiend Flicker Medium Range|2.25
Fiend Flicker Maximum Range|3
Fiend Mind Attack Damage Multiplier|3
Fiend Mind Attack Attack Timer Charge Rate|5
Fiend Mind Attack Attack Timer Decay Rate|0.25
Fiend Mind Attack Delay Timer Rate|5
Sparky Max Movement Speed Factor Increase From Buff|0.375
Sparky Minimum Lurk Distance|0.8
Sparky Maximum Super EMP Distance|160
Sparky Super EMP Charge Time|0.75
Sparky Maximum Aggro|0.75
Sparky EMP Minimum Charge Time|20
Sparky EMP Maximum Charge Time|60
Sparky EMP Range|12
Sparky Distant EMP Switch Fail Chance Addition|25
Region Electric Trap Spawn Chance|50
Region Electric Trap Slow Factor|0.75
Region Electric Trap Scale Multiplier|1.125
Region Electric Trap Life Time|7.5
Region Electric Trap Minimum Spawn Time|5
Region Electric Trap Maximum Spawn Time|10
Sparky Electric Trap Base Slow Factor|0.75
Max Trap Slow Factor Decrease From Buff|0.2
Sparky Electric Trap Base Scale Multiplier|1.125
Sparky Electric Trap Base Life Time|5
Helicopter Fuel Time|8
Submersible Charge Time|12
Escape Conditions|1
Inventory Size|7
Unlock Player Head|True
Extended Jump Cooldown|True
Better Smashables|True
Add Smoke Grenade|True
Add Molotov|True
Spawn Deactivated Items|True
Helicopter Fuel Time|2
Submersible Charge Time|3
Camera Timer|1
Use Deck Four On Submersible Side|True
Spawn Additional Engine Room Workshops|True
Add Lower Deck Next To Engine Room|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
