Name|Extended Insanity+++
Author|Ink
Difficulty|10
Description|A complete trio of monsters of the "Extreme" difficulty variant, including Sparky. Additionally, there are a large number of settings such as new items, updated generation, escape conditions and other features to improve the enjoyment of the gameplay. High degree of replayability. Probably nearly impossible.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Number of Hunters|1
Number of Fiends|1
Number of Sparkies|1
Add Sparky To The Game|True
Use Indev Sparky Model|True
Maximum Monster Spawntime (seconds)|15
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.75
Brute Chase Speed Buff Rate|1.75
Brute Fire Shroud|True
Fire Shroud Radius|1.75
Fire Blast Radius|175
Hunter Maximum Cooldown Time Multiplier|0.125
Quiet Hunter|True
Overpowered Hunter|True
Aggressive Hunter|True
Fiend Flicker Minimum Range|1
Fiend Flicker Medium Range|1.5
Fiend Flicker Maximum Range|2
Fiend Mind Attack Damage Multiplier|100
Fiend Mind Attack Attack Timer Charge Rate|12.5
Fiend Mind Attack Attack Timer Decay Rate|0
Fiend Door Teleportation|True
Give Fiend A Slow Aura|True
Slow Aura Range|13.125
Slow Aura Maximum Slow Factor|0.0001
Sparky Chase Speed Factor|0.875
Sparky Rotation Speed Factor|-0.25
Sparky Minimum Lurk Distance|1
Sparky Maximum Super EMP Distance|100
Sparky Super EMP Charge Time|0.5
Sparky Maximum Aggro|0.25
Sparky EMP Minimum Charge Time|20
Sparky EMP Maximum Charge Time|60
Sparky EMP Range|14
Region Electric Trap Spawn Chance|41.25
Region Electric Trap Slow Factor|0.575
Sparky Electric Trap Spawn Chance|68.75
Sparky Electric Trap Base Slow Factor|0.575
Max Trap Slow Factor Decrease From Buff|0.125
Escape Conditions|1
Inventory Size|7
Unlock Player Head|True
Extended Jump Cooldown|True
Better Smashables|True
Add Smoke Grenade|True
Add Molotov|True
Spawn Deactivated Items|True
Helicopter Fuel Time|2
Submersible Charge Time|3
Camera Timer|0
Add Deck Cargo Holds|True
Use Deck Four On Submersible Side|True
Add Lower Deck Next To Engine Room|True
Add Deck Zero|True
Brute Light Colour Red Component|250
Brute Light Colour Green Component|175
Brute Light Colour Blue Component|50
Brute Light Intensity Multiplier|2.25
Brute Light Range Multiplier|1.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
