Name|Extendium+
Author|Ink
Difficulty|7
Description|2 random monsters of the "Hard" difficulty variant, including Sparky. Additionally, there are a large number of settings such as new items, updated generation, escape conditions, random start room and other features to improve the enjoyment of the gameplay. High degree of replayability.
Version|7.0
Setting|Custom Value
Number of Random Monsters|2
Add Sparky To The Game|True
Use Indev Sparky Model|True
Maximum Monster Spawntime (seconds)|60
Fiend Vision Cone Angle|90
Monster Animation Speed Multiplier|1.25
Monster Movement Speed Multiplier|1.25
Monster Rotation Speed Multiplier|1.25
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.25
Brute Chase Speed Buff Rate|1.25
Brute Fire Shroud|True
Fire Shroud Radius|0
Fire Blast Radius|12.5
Hunter Maximum Cooldown Time Multiplier|0.125
Fiend Flicker Minimum Range|2.4
Fiend Flicker Medium Range|3.6
Fiend Flicker Maximum Range|4.8
Fiend Mind Attack Damage Multiplier|2
Fiend Mind Attack Attack Timer Charge Rate|3.75
Fiend Mind Attack Attack Timer Decay Rate|0.5
Fiend Mind Attack Delay Timer Rate|1.875
Sparky Chase Speed Factor|0.625
Sparky Minimum Lurk Distance|4
Sparky Maximum Super EMP Distance|100
Sparky Super EMP Charge Time|1
Sparky Maximum Aggro|0.75
Sparky EMP Minimum Charge Time|27.5
Sparky EMP Maximum Charge Time|82.5
Sparky EMP Range|10
Region Electric Trap Spawn Chance|33.75
Region Electric Trap Slow Factor|0.75
Sparky Electric Trap Spawn Chance|56.25
Sparky Electric Trap Base Slow Factor|0.75
Max Trap Slow Factor Decrease From Buff|0.175
Helicopter Fuel Time|2
Submersible Charge Time|3
Escape Conditions|1
Inventory Size|7
Unlock Player Head|True
Extended Jump Cooldown|True
Monster Compass|True
Walkie Talkie Range|25
Better Smashables|True
Add Smoke Grenade|True
Add Molotov|True
Spawn Deactivated Items|True
Pre-fill Liferaft Fuse Box|False
Add Deck Cargo Holds|True
Use Deck Four On Submersible Side|True
Add Lower Deck Next To Engine Room|True
Random Start Room|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
