Name|Extinguished Ship+
Author|Ink
Difficulty|11
Description|The game against 5 Extreme Fiends + a slightly more complicated escape sequence and shortage of items.
Version|7.1
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|5
Maximum Monster Spawntime (seconds)|15
Fiend Vision Cone Angle|270
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Fiend Flicker Minimum Range|1
Fiend Flicker Medium Range|1.5
Fiend Flicker Maximum Range|2
Fiend Mind Attack Damage Multiplier|100
Fiend Mind Attack Attack Timer Charge Rate|12.5
Fiend Mind Attack Attack Timer Decay Rate|0
Fiend Door Teleportation|True
Give Fiend A Slow Aura|True
Slow Aura Range|6.5625
Slow Aura Maximum Slow Factor|0.0001
Helicopter Fuel Amount|3
Helicopter Fuel Time|2
Submersible Charge Time|3
Escape Conditions|1
Gravity Y Acceleration|-14.715
Extended Jump Cooldown|True
Camera Timer|0
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Change Key Item Spawn Numbers|-1
Brute Light Colour Red Component|250
Brute Light Colour Green Component|175
Brute Light Colour Blue Component|50
Brute Light Intensity Multiplier|2.25
Brute Light Range Multiplier|1.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
