Name|Extreme Brute
Author|Ink
Difficulty|8
Description|An overpowered version of the Brute. "The instability of the specimen's internal core led to irreversible damage to its outer layers and uncontrolled releases of extreme amounts of heat."
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Maximum Monster Spawntime (seconds)|15
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.75
Brute Chase Speed Buff Rate|1.75
Brute Fire Shroud|True
Fire Shroud Radius|1.75
Fire Blast Radius|175
Helicopter Fuel Time|9
Submersible Charge Time|12
Camera Timer|0
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Brute Light Colour Red Component|250
Brute Light Colour Green Component|175
Brute Light Colour Blue Component|50
Brute Light Intensity Multiplier|2.25
Brute Light Range Multiplier|1.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
