Name|Fearsome Fiend
Author|Mike Bone
Difficulty|3
Description|You oughta treasure that Fiend Detector 9000 (a.k.a. flashlight), It'll be one of your only life lines during this challenge.\n\nPart of the 4.1 MES challenge library.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|1
Monster Always Finds You In Hiding Spot|True
Monster Animation Speed Multiplier|1.2
Monster Movement Speed Multiplier|1.2
Fiend Door Teleportation|True
Dark Ship|True
Powerable Lights|True
Starter Room Region|Upper Deck
Pre-fill Start Region Fuse Box|False
Pre-fill Liferaft Fuse Box|False
Unbreakable Pit Traps|True
Shortened Cargo Hold Corridors|True
Flashlight Colour Red Component|200
Flashlight Colour Green Component|0
Flashlight Colour Blue Component|255
Flashlight Intensity Multiplier|1.2
Glowstick Colour Red Component|200
Glowstick Colour Green Component|0
Glowstick Colour Blue Component|255
Glowstick Intensity Multiplier|1.2
Ship Generic Lights Colour Red Component|200
Ship Generic Lights Colour Green Component|0
Ship Generic Lights Colour Blue Component|255
Ship Generic Lights Intensity Multiplier|1.2
