Name|Hard Brute
Author|Ink
Difficulty|5
Description|A significantly enhanced version of the classic Brute. More speed. More power. More fire.
Version|6.0 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Monster Animation Speed Multiplier|1.4
Monster Movement Speed Multiplier|1.4
Monster Rotation Speed Multiplier|1.4
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.4
Apply Chase Speed Buff To All Monsters|True
Brute Fire Shroud|True
Give All Monsters A Fire Shroud|True
Fire Shroud Radius|1.5
Fire Blast Radius|0
Extended Jump Cooldown|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
