Name|Hard Fiend
Author|Ink
Difficulty|4
Description|A more difficult version of the Fiend. A little more stealth and a greater threat from mind attacks.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|1
Maximum Monster Spawntime (seconds)|60
Monster Animation Speed Multiplier|1.25
Monster Movement Speed Multiplier|1.25
Monster Rotation Speed Multiplier|1.25
Fiend Flicker Minimum Range|2.4
Fiend Flicker Medium Range|3.6
Fiend Flicker Maximum Range|4.8
Fiend Mind Attack Damage Multiplier|2
Fiend Mind Attack Attack Timer Charge Rate|3.75
Fiend Mind Attack Attack Timer Decay Rate|0.5
Fiend Mind Attack Delay Timer Rate|1.875
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
