Name|Hard Mode
Author|Ink
Difficulty|4
Description|The opportunity to play against one of 3 reinforced (hard) monsters from the other challenges.
Version|6.0 Indev
Setting|Custom Value
Monster Animation Speed Multiplier|1.2
Monster Movement Speed Multiplier|1.2
Monster Rotation Speed Multiplier|1.2
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.5
Brute Long Range Wander Speed Buff|True
Hunter Maximum Cooldown Time Multiplier|0.5
Quiet Hunter|True
Fiend Mind Attack Attack Timer Charge Rate|2.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
