Name|Infested Ship
Author|Ink
Difficulty|10
Description|The game against 5 Insane Hunters.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Hunters|5
Maximum Monster Spawntime (seconds)|30
Monster Animation Speed Multiplier|1.5
Monster Movement Speed Multiplier|1.5
Monster Rotation Speed Multiplier|1.5
Hunter Maximum Cooldown Time Multiplier|0.25
Overpowered Hunter|True
Helicopter Fuel Time|2
Submersible Charge Time|3
Escape Conditions|1
Camera Timer|1
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
