Name|Infested Ship+
Author|Ink
Difficulty|11
Description|The game against 5 Extreme Hunters + a slightly more complicated escape sequence and shortage of items.
Version|7.1
Setting|Custom Value
Number of Random Monsters|0
Number of Hunters|5
Maximum Monster Spawntime (seconds)|15
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Hunter Maximum Cooldown Time Multiplier|0.125
Quiet Hunter|True
Overpowered Hunter|True
Aggressive Hunter|True
Helicopter Fuel Amount|3
Helicopter Fuel Time|2
Submersible Charge Time|3
Escape Conditions|1
Gravity Y Acceleration|-14.715
Extended Jump Cooldown|True
Camera Timer|0
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Change Key Item Spawn Numbers|-1
Brute Light Colour Red Component|250
Brute Light Colour Green Component|175
Brute Light Colour Blue Component|50
Brute Light Intensity Multiplier|2.25
Brute Light Range Multiplier|1.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
