Name|Insane Brute
Author|Ink
Difficulty|6
Description|A much stronger version of the Brute. Searing heat and significantly increased speed.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Maximum Monster Spawntime (seconds)|30
Monster Animation Speed Multiplier|1.5
Monster Movement Speed Multiplier|1.5
Monster Rotation Speed Multiplier|1.5
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.5
Brute Chase Speed Buff Rate|1.5
Brute Fire Shroud|True
Fire Shroud Radius|1.5
Fire Blast Radius|0
Camera Timer|1
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
