Name|Insane Hunter
Author|Ink
Difficulty|6
Description|A much stronger version of the Hunter. Insane persistence in an endless attempt to catch the player off guard.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Hunters|1
Maximum Monster Spawntime (seconds)|30
Monster Animation Speed Multiplier|1.5
Monster Movement Speed Multiplier|1.5
Monster Rotation Speed Multiplier|1.5
Hunter Maximum Cooldown Time Multiplier|0.25
Overpowered Hunter|True
Camera Timer|1
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
