Name|Insane Mode
Author|Ink
Difficulty|7
Description|The opportunity to play against one of 3 reinforced (insane) monsters from the other challenges.
Version|6.0 Indev
Setting|Custom Value
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.75
Brute Fire Shroud|True
Fire Shroud Radius|1.5
Fire Blast Radius|0
Overpowered Hunter|True
Fiend Flicker Minimum Range|1
Fiend Flicker Medium Range|2
Fiend Flicker Maximum Range|3
Fiend Mind Attack Damage Multiplier|100
Fiend Mind Attack Attack Timer Charge Rate|10
Fiend Mind Attack Attack Timer Decay Rate|0.2
Fiend Door Teleportation|True
Give Fiend A Slow Aura|True
Slow Aura Range|20
Slow Aura Maximum Slow Factor|0
Extended Jump Cooldown|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
