Name|Isotope Brute+
Author|Ink
Difficulty|9
Description|DO NOT under any circumstances catch his eye and DO NOT go too far away from him, otherwise this subspecies of Brute will become extremely unstable.\nIt looks like the radioactive core has caused a series of abnormal mutations, making it difficult to control this subspecies...
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Minimum Monster Spawntime (seconds)|4
Maximum Monster Spawntime (seconds)|5
Spawn Monster In Starter Room|True
Persistent Monster|True
Silent Monster|True
Monster Rotation Speed Multiplier|1.5
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|15
Brute Chase Speed Buff Rate|15
Brute Long Range Wander Speed Buff|True
Brute Long Range Wander Speed Buff Multiplier|3000
Fiend Flicker Minimum Range|1.5
Fiend Flicker Medium Range|2.25
Fiend Flicker Maximum Range|3
Give All Monsters A Fiend Aura|True
Overpowered Hiding Spots|True
Helicopter Fuel Time|2
Submersible Charge Time|3
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Brute Light Colour Red Component|200
Brute Light Colour Green Component|250
Brute Light Colour Blue Component|1
Brute Light Intensity Multiplier|3
Brute Light Range Multiplier|1.125
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Use Wander Theme From Start|True
