Name|Microchallenge
Author|Ink
Difficulty|6
Description|Idk, don't ask. Just escape. ...and don't let yourself be crushed, literally.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|5
Maximum Monster Spawntime (seconds)|5
Fiend Vision Cone Angle|0
Apply Fiend Vision Cone Angle To All Monsters|True
Monster Animation Speed Multiplier|1.375
Monster Movement Speed Multiplier|1.375
Monster Rotation Speed Multiplier|1.375
Brute Long Range Wander Speed Buff|True
Brute Long Range Wander Speed Buff Multiplier|1.75
Give All Monsters A Smoke Shroud|True
Smoke Shroud Radius|0.75
Breath Amount|1
Smoke Shroud Breath Drain|10
Helicopter Fuel Time|2
Submersible Charge Time|3
Escape Conditions|1
Gravity Y Acceleration|-14.715
Inventory Size|1
Player Movement Speed Multiplier|0.4
Custom Player Scale|0.1
Unlock Player Head|True
Starter Room Region|Upper Deck
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
