Name|Minotaur
Author|Ink
Difficulty|9
Description|Welcome to the Minotaur's Lair. Use his power for your own purposes to clear your way to escape from the maze ship.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Maximum Monster Spawntime (seconds)|7.5
Monster Animation Speed Multiplier|1.85
Monster Movement Speed Multiplier|1.85
Monster Rotation Speed Multiplier|1.85
Custom Monster Scale|1.125
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.85
Fiend Flicker Minimum Range|2
Fiend Flicker Medium Range|3
Fiend Flicker Maximum Range|4
Give All Monsters A Fiend Aura|True
Use Custom Doors Mode|True
Custom Door Type|5
Gravity Y Acceleration|-15
Inventory Size|12
Extended Jump Cooldown|True
Infinite Flashlight Power|True
Add Smoke Grenade|True
Starter Room Region|Upper Deck
Brute Light Intensity Multiplier|2
Brute Light Range Multiplier|4
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Custom Music Pack|3
Use Wander Theme From Start|True
