Name|Monstrum Extended+++
Author|Ink
Difficulty|9
Description|A random monster of the "Extreme" difficulty variant, including Sparky. Additionally, there are a large number of settings such as new items, updated generation, escape conditions and other features to improve the enjoyment of the gameplay. High degree of replayability.
Version|6.1 Indev
Setting|Custom Value
Add Sparky To The Game|True
Use Indev Sparky Model|True
Maximum Monster Spawntime (seconds)|15
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.75
Brute Chase Speed Buff Rate|1.75
Brute Fire Shroud|True
Fire Shroud Radius|1.75
Fire Blast Radius|175
Hunter Maximum Cooldown Time Multiplier|0.125
Quiet Hunter|True
Overpowered Hunter|True
Aggressive Hunter|True
Fiend Flicker Minimum Range|2
Fiend Flicker Medium Range|2.025
Fiend Flicker Maximum Range|2.05
Fiend Mind Attack Damage Multiplier|100
Fiend Mind Attack Attack Timer Charge Rate|10
Fiend Mind Attack Attack Timer Decay Rate|0
Fiend Door Teleportation|True
Sparky Max Movement Speed Factor Increase From Buff|0.5
Sparky Minimum Lurk Distance|0.2
Sparky Maximum Super EMP Distance|320
Sparky Super EMP Charge Time|0.25
Sparky Maximum Aggro|0.125
Sparky EMP Minimum Charge Time|15
Sparky EMP Maximum Charge Time|45
Sparky EMP Range|14
Sparky Distant EMP Switch Fail Chance Addition|25
Region Electric Trap Spawn Chance|50
Region Electric Trap Slow Factor|0.75
Region Electric Trap Scale Multiplier|1.25
Region Electric Trap Life Time|10
Region Electric Trap Minimum Spawn Time|2.5
Region Electric Trap Maximum Spawn Time|7.5
Sparky Electric Trap Base Slow Factor|0.75
Max Trap Slow Factor Decrease From Buff|0.25
Sparky Electric Trap Base Scale Multiplier|1.25
Sparky Electric Trap Base Life Time|7.5
Escape Conditions|1
Unlock Player Head|True
Extended Jump Cooldown|True
Better Smashables|True
Add Smoke Grenade|True
Add Molotov|True
Spawn Deactivated Items|True
Helicopter Fuel Time|8
Submersible Charge Time|12
Camera Timer|0
Use Deck Four On Submersible Side|True
Spawn Additional Engine Room Workshops|True
Add Lower Deck Next To Engine Room|True
Brute Light Colour Red Component|250
Brute Light Colour Green Component|175
Brute Light Colour Blue Component|50
Brute Light Intensity Multiplier|2.25
Brute Light Range Multiplier|1.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
