Name|Salochki X
Author|Ink
Difficulty|10
Description|There's no time to explain!\nLight up 16 special glowsticks to escape from a group of Brutes who partially have all the abilities of the previous monsters in this series of challenges. And don't forget to complete all 3 escape conditions. Good luck.\n(Btw I left you a buffed Flare Gun at spawn)
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|3
Minimum Monster Spawntime (seconds)|29
Maximum Monster Spawntime (seconds)|30
Persistent Monster|True
Seer Monster|True
Monster Animation Speed Multiplier|1.6
Monster Movement Speed Multiplier|1.6
Monster Rotation Speed Multiplier|1.6
Brute Fire Shroud|True
Give All Monsters A Fire Shroud|True
Fire Shroud Radius|2.5
Fire Blast Radius|0
Glowstick Hunt|True
Special Glowsticks Required|16
Special Glowsticks To Create|24
Monster Spawn Speedrun|120
Monster Spawning Limit|2
No Time Freeze In Pause Menu|True
No Hiding|True
Disable Liferaft|True
Disable Helicopter|True
Disable Submersible|True
Escape Conditions|3
Gravity Y Acceleration|-14.715
Extra Lives|2
Inventory Size|5
Player Movement Speed Multiplier|1.125
Extended Jump Cooldown|True
Flare Lifetime|5
Spawn With Flare Gun|True
Flares Teleport Monsters|True
Infinite Flashlight Power|True
Pre-fill Liferaft Fuse Box|False
Use Deck Four On Submersible Side|True
Lengthened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Diverse Item Spawns|True
Spawn Items Anywhere|True
No Doors|True
Brute Light Intensity Multiplier|0.125
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Custom Music Pack|3
