Name|Salochki X+
Author|Ink
Difficulty|11
Description|Overbuffed version of the Salochki X challenge. This time there is absolutely no head start and no indulgence. Death means death.
Version|7.1
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|5
Maximum Monster Spawntime (seconds)|1
Persistent Monster|True
Seer Monster|True
Monster Animation Speed Multiplier|1.6
Monster Movement Speed Multiplier|1.6
Monster Rotation Speed Multiplier|1.6
Brute Fire Shroud|True
Give All Monsters A Fire Shroud|True
Fire Shroud Radius|2.5
Fire Blast Radius|0
Glowstick Hunt|True
Special Glowsticks Required|16
Special Glowsticks To Create|24
No Time Freeze In Pause Menu|True
No Hiding|True
Disable Liferaft|True
Disable Helicopter|True
Disable Submersible|True
Escape Conditions|3
Gravity Y Acceleration|-14.715
Inventory Size|5
Player Movement Speed Multiplier|1.125
Extended Jump Cooldown|True
Flare Lifetime|5
Spawn With Flare Gun|True
Flares Teleport Monsters|True
Infinite Flashlight Power|True
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Use Deck Four On Submersible Side|True
Lengthened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Diverse Item Spawns|True
Spawn Items Anywhere|True
No Doors|True
Brute Light Intensity Multiplier|0.125
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Custom Music Pack|3
