Name|Silent Breath
Author|Ink
Difficulty|5
Description|You have to be as quiet and careful as possible if you want to escape. There is nowhere to run and nowhere to hide. Good luck.\nYour stamina is limited to 5 seconds of running, but your speed will be enough to quickly change position in case of danger.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Force Many Monsters Mode|True
Minimum Monster Spawntime (seconds)|29
Maximum Monster Spawntime (seconds)|30
Monster Always Finds You In Hiding Spot|True
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|1.25
Brute Chase Speed Buff Rate|1.25
Monster Spawn Speedrun|2
Monster Spawning Limit|150
No Hiding|True
Helicopter Fuel Time|8
Submersible Charge Time|12
Escape Conditions|1
Gravity Y Acceleration|-15
Player Stamina Mode|True
Player Stamina Mode Stamina Duration|5
Player Stamina Mode Stamina Penalty|100
Player Stamina Mode Walking Recovery Factor|0.5
Player Stamina Mode Standing Recovery Factor|1
Player Movement Speed Multiplier|1.45
Extended Jump Cooldown|True
Infinite Flashlight Power|True
Add Smoke Grenade|True
Starter Room Region|Upper Deck
Camera Timer|1
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Add Additional Crew Deck Building|True
Lengthened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Number Of Corridors To Cargo Hold From New Lower Deck|2
Add Deck Zero|True
No Doors|True
Brute Light Intensity Multiplier|1.5
Brute Light Range Multiplier|1.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Custom Music Pack|4
Use Wander Theme From Start|True
