Name|Surreal Ship
Author|Ink
Difficulty|7
Description|Welcome to the surreal ship that arrived from somewhere in the wilds of dreams. Avoid spatial anomalies and try not to get lost in such a wrong and dangerous ship.
Version|6.0 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|3
Monster Animation Speed Multiplier|1.33
Overpowered Steam Vents|True
Add Additional Crew Deck Building|True
Add Deck Zero|True
Extend Map|True
Extend Map Additively|True
Random Brute Light Colours|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Do Not Pre-Render Monsters|True
Disable Monster Particles|True
