Name|Surreal Ship+
Author|Ink
Difficulty|10
Description|Welcome to the Surreal Ship, the most accurate embodiment of Hisa Maru from dreams. Follow one single rule and maybe you can escape: DONT RISK
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|3
Force Many Monsters Mode|True
Maximum Monster Spawntime (seconds)|1
No Monster Stun Immunity|True
Monster Animation Speed Multiplier|1.625
Monster Movement Speed Multiplier|1.625
Monster Rotation Speed Multiplier|1.625
Varying Monster Sizes|True
Brute Long Range Wander Speed Buff|True
Brute Long Range Wander Speed Buff Multiplier|1.625
Fiend Door Teleportation|True
Apply Door Teleportation To All Monsters|True
Item Monster Frenzy|True
Monster Spawn Speedrun|180
Monster Spawning Limit|3
Foggy Ship|True
Fog Near Distance|125
Fog Far Distance|250
No Time Freeze In Pause Menu|True
Hide Reticule|True
Hide Task Notifications|True
Helicopter Fuel Time|9
Submersible Charge Time|12
Escape Conditions|1
Gravity Y Acceleration|-14.715
Unlock Player Head|True
Extended Jump Cooldown|True
Flares Teleport Monsters|True
Fire Duration Multiplier|0.75
Looping Radio|False
Unsmashables|True
Add Smoke Grenade|True
Smoke Grenade Duration|45
Add Molotov|True
Molotov Duration|10
Spawn Deactivated Items|True
Camera Timer|1
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Overpowered Steam Vents|True
Add Additional Crew Deck Building|True
Add Deck Cargo Holds|True
Use Deck Four On Submersible Side|True
Extend Lower Decks|True
Spawn Additional Engine Room Workshops|True
Aggressive Workshop Spawning|True
Number Of Corridors To Cargo Hold From Deck Three|1
Lengthened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Add Deck Zero|True
Extend Map|True
Extend Map Additively|True
Diverse Item Spawns|True
Brute Light Intensity Multiplier|2
Random Brute Light Colours|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Ship Generic Lights Intensity Multiplier|1.125
Ship Generic Lights Range Multiplier|1.125
Random Ship Generic Light Colours|True
Fog Colour Red Component|0
Fog Colour Green Component|0
Fog Colour Blue Component|0
Custom Music Pack|4
Use Wander Theme From Start|True
Disable Monster Particles|True
