Name|Trinity of Demise
Author|Mike Bone
Difficulty|6
Description|...but why? Why would you attempt this? Why would you attempt any of this?! Survive against The Twilight Witch, The Predator, and Usain Brute all at once on a dark ship with powerable lights.\n\nPart of the 4.1 MES challenge library.
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Number of Hunters|1
Number of Fiends|1
Monster Always Finds You In Hiding Spot|True
Monster Animation Speed Multiplier|1.4
Monster Movement Speed Multiplier|1.4
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|3.25
Quiet Hunter|True
Overpowered Hunter|True
Aggressive Hunter|True
Fiend Flicker Minimum Range|3
Fiend Flicker Medium Range|3.5
Fiend Flicker Maximum Range|4
Fiend Door Teleportation|True
Dark Ship|True
Powerable Lights|True
Foggy Ship|True
Fog Near Distance|6
Fog Far Distance|12
Starter Room Region|Lower Deck
Overpowered Steam Vents|True
Unbreakable Pit Traps|True
Shortened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Add Deck Zero|True
Flashlight Colour Red Component|255
Flashlight Colour Green Component|255
Flashlight Colour Blue Component|255
Glowstick Colour Red Component|255
Glowstick Colour Green Component|255
Glowstick Colour Blue Component|255
Ship Generic Lights Colour Red Component|255
Ship Generic Lights Colour Green Component|255
Ship Generic Lights Colour Blue Component|255
