Name|Twilight Witch
Author|Mike Bone
Difficulty|4
Description|"Must've been the wind" the naïve survivor thought to himself... It was in fact, not the wind. Your greatest enemy will be your fear and lack of knowledge as the ship bolsters a tremendous fog that limits your vision greatly.\n\nLow gamma recommended.\n\nPart of the 4.1 MES challenge library.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|1
Seer Monster|True
Monster Always Finds You In Hiding Spot|True
Monster Animation Speed Multiplier|1.35
Monster Movement Speed Multiplier|1.35
Brute Chase Speed Buff Multiplier|1.75
Apply Chase Speed Buff To All Monsters|True
Fiend Door Teleportation|True
Dark Ship|True
Powerable Lights|True
Foggy Ship|True
Fog Near Distance|4
Fog Far Distance|8
Player Stamina Mode|True
Player Stamina Mode Stamina Duration|15
Player Stamina Mode Stamina Penalty|50
Starter Room Region|Upper Deck
Pre-fill Start Region Fuse Box|False
Pre-fill Liferaft Fuse Box|False
Flashlight Colour Red Component|0
Flashlight Colour Green Component|0
Flashlight Colour Blue Component|255
Glowstick Colour Red Component|0
Glowstick Colour Green Component|0
Glowstick Colour Blue Component|255
Ship Generic Lights Colour Red Component|0
Ship Generic Lights Colour Green Component|0
Ship Generic Lights Colour Blue Component|255
Player Stamina Mode Stamina Text|True
