Name|Underwater+
Author|Ink
Difficulty|6
Description|Your ship continues to sink, the oxygen supply getting smaller. Be careful, because there is something even more dangerous on the ship with you than pressure and lack of oxygen.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|3
Minimum Monster Spawntime (seconds)|25
Maximum Monster Spawntime (seconds)|75
Monster Animation Speed Multiplier|2
Monster Movement Speed Multiplier|2
Monster Rotation Speed Multiplier|3
Fiend Flicker Minimum Range|-1
Fiend Flicker Medium Range|-1
Fiend Flicker Maximum Range|-1
Fiend Mind Attack Damage Multiplier|0
Fiend Mind Attack Attack Timer Charge Rate|-1
Fiend Mind Attack Delay Timer Rate|10000
Death Countdown|600
Foggy Ship|True
Fog Near Distance|2
Fog Far Distance|20
Fog Density|7.5
Foggy Ship Alternative Mode|True
Disable Helicopter|True
Gravity Y Acceleration|-3.5
Player Movement Speed Multiplier|1.4
Fire Duration Multiplier|0
Unsmashables|True
No Steam|True
Infinite Flashlight Power|True
Flashlight Colour Red Component|100
Flashlight Colour Green Component|225
Flashlight Colour Blue Component|250
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2.5
Glowstick Colour Red Component|1
Glowstick Colour Green Component|116
Glowstick Colour Blue Component|71
Glowstick Range Multiplier|2
Ship Generic Lights Colour Red Component|1
Ship Generic Lights Colour Green Component|175
Ship Generic Lights Colour Blue Component|225
Fog Colour Red Component|1
Fog Colour Green Component|15
Fog Colour Blue Component|20
Timescale|0.5
